codeInstallation,nomInstallation,adresse,nbParking,nbParkingHandi,nbEquipements
I310030002,Ecole,21 Chemin de l'Autan,10,2,1
I310040004,Complexe Sportif,Alle des droits de l'homme et du citoyen,100,2,13
I310040005,Collge Jean-Paul Laurens,Alle des doits de l'Homme et du citoyen.,40,1,3
I310200003,Ecole Germaine Bars,432 Rue Armand Latour,0,0,1
I310200009,Piscine Municipale,QUARTIER SARRADERE,10,0,1
I310200013,Parcours d'Orientation : le Bois Perch,Le Bois Perch,,,1
I310280005,Collge Emile Paul Vayssie,avenue de Benabarre,0,0,2
I310320002,Complexe Sportif,ROUTE DU LAC,300,0,9
I310320005,Installations Sportives du College,500 route de Merville,50,2,6
I310330003,Ecole Primaire Michelet,8 Rue Michelet,,,4
I310330011,Complexe Sportif du Collge Antonin Perbosc,18 bis AVENUE HERMANNSBURG,100,2,4
I310330012,Piscine Marie Jeanne Proudhom,ALLEE DU RAMIER,400,0,2
I310350004,Ecole Aime Cesaire,Alle du Viognier,10,0,4
I310350008,Complexe Sportif / Lyce Agricole / Enfa,BP 72647,250,10,9
I310350009,Groupe Scolaire Ren Gosciny,14 Chemin des coles,5,0,1
I310350012,Inra,Chemin Borde Rouge,20,1,4
I310360002,Complexe Sportif,Route d'Auzielle,60,0,8
I310370004,Ecole Primaire Auguste Foures,rue de la porte de Cers,50,0,1
I310420003,Complexe Municipal,RUE RAMONT,50,0,5
I310420008,Aerodrome de Bagneres de Luchon,PLACE LEON ELISSALDE,100,0,1
I310440001,Stade Municipal,17 av des aerostiers,320,6,20
I310440002,Complexe Sportif J. Rostand,AVENUE GEORGES PRADEL,50,2,8
I310440003,"Complexe Sportif Piscine, Terrains de Foot et Parc de Lagarde",RUE DU SOLEIL D'OR,50,0,5
I310440004,Complexe Latecoere,Avenue de la Plaine,50,0,7
I310440006,Lycee Prive Salieges,3 r georges bernanos,250,1,7
I310440008,Aerodrome Toulouse Lasbordes,22 AVENUE JEAN RENE LAGASSE,40,1,2
I310440022,Ecole Primaire Marie Laurencin,Avenue de LASBORDES,50,2,2
I310440023,Ecole Primaire Saint Exupery,14 Chemin SIRONIS,40,2,3
I310480001,Complexe Sportif,Plaine d'Amont,50,0,7
I310520001,Aire Sportive,Place Clement Ader,100,3,7
I310560006,Base de Loisir des Ramiers,,400,0,1
I310650002,Complexe Sportif,Route de Carbonne,50,,6
I310660010,College de Bessieres,245 AVENUE AIME CESAIRE,150,2,2
I310690002,Zone de Loisir des 15 Sols,che du tiers etat,100,0,7
I310690003,Complexe Sportif de Ritouret,11 Av. des Tilleuls,230,5,22
I310690004,Complexe du Grand Noble,20 RUE HENRI MARTIN,100,0,6
I310690005,Complexe Sportf de Naudin,27 che du moulin de naudin,100,4,13
I310690006,Complexe Sportif des Barradels,Rue des Cyclamens,150,5,7
I310690007,Complexe Sportif du Ramier,2 RUE DU VIEUX MOULIN,500,10,12
I310690008,Gymnase Jean Moulin,2 RUE FELIX DEBAX,0,0,1
I310690011,Gymnase Scolaire Saint Exupery,RUE  GEORGES SAND,100,2,3
I310690012,Etablissement Scolaire le Ferradou,ROUTE DE GRENADE,50,0,6
I310690022,Ecole Perseides,Boulevard Perse,0,0,2
I310690026,Complexe Sportif d'Andromde,Chemin de Ferradou Blagnac,150,6,11
I310700001,Ecole Primaire,Route de Toulouse,,,1
I310710002,Arodrome Prive,Quartier Digne des Moines,15,0,1
I310790001,Complexe Sportif,Route de Villaudric,100,2,9
I310790003,Aire Multisports (cole),Rue Jean Jaures,30,1,1
I310800004,Complexe Sportif,avenue du lac,110,0,6
I310810001,Station de Ski,Bourg d'Oueil,30,0,3
I310820003,Arodrome A.V.A.T,Aerodrome,30,0,2
I310840002,Complexe Sportif Emile Lagardelle,Avenue de la gare,30,0,9
I310840003,Piscine Municipale,Promenade du lac,0,1,1
I310840004,Ecole,Avenue du Pr Commun,0,0,1
I310850001,Station de Ski Boutx-Le Mourtis,LE MOURTIS,800,0,5
I310910002,Complexe Sportif Ren Albus,Alles Pierre de Coubertin,300,3,13
I310910007,Base de Loisirs,Rue de la Briqueterie,400,10,4
I310980001,Collge Joseph Rey,2 Route de Garac,50,3,3
I310980008,,ECOLE MATERNELLE PUBLIQUE CHEMIN D'EN PALANQUE,30,0,1
I311000001,Complexe Sportif Francis Balard,AVENUE DE MAZERES,80,3,6
I311000003,Ecole,Avenue de Mazre,80,1,1
I311070001,Complexe Sportif A. Prevost,Rue du Pila,350,4,7
I311070007,College Andre Abbal,Route de Marquefave,30,2,3
I311130001,Complexe Sportif G. Vallerey,Rue G. Vallerey,50,1,12
I311130002,Complexe Sportif de Lautard,ZAC de RABAUDY LAUTARD,300,4,7
I311130003,Complexe Jean Jaurs,Rue Mail Dels Drolets,5,1,3
I311130004,Parc des Fontanelles,Rue des Fontanelles,40,0,7
I311130005,Complexe Delherm,Avenue Louis Delherm,60,2,3
I311130008,College J.Jaures,Place Clemence Isaure,4,1,2
I311130009,Ecole des Fontanelles,rue Nauze,20,0,1
I311130012,Ecole Damase Auba,Avenue Salvador Allende,,,3
I311160004,Centre Sportif Buffebiau,RUE MARTIN,100,0,8
I311160005,Complexe Sportif du Centre,RUE DOCTEUR MATEO,80,2,10
I311170001,Complexe Sportif,3 RUE DU STADE,100,2,7
I311170006,Natura Game,1 route de Gragnague,300,0,2
I311180001,Complexe Sportif Municipal,RUE DU STADE,50,,9
I311330002,Complexe Sportif du Sivom du Bas Larboust,VILLAGE,20,0,4
I311350001,Complexe Sportif des Capucins,RUE DES CAPUCINS,0,0,5
