codeDepartement,nomDepartement,codeInseeCommune,nomCommune
31,Haute-Garonne,31287,Lavernose-Lacasse
31,Haute-Garonne,31291,Lguevin
31,Haute-Garonne,31291,Lguevin
31,Haute-Garonne,31291,Lguevin
31,Haute-Garonne,31291,Lguevin
31,Haute-Garonne,31293,Lespinasse
31,Haute-Garonne,31293,Lespinasse
31,Haute-Garonne,31297,Lvignac
31,Haute-Garonne,31298,Lez
31,Haute-Garonne,31299,Lherm
31,Haute-Garonne,31311,Magdelaine-sur-Tarn
31,Haute-Garonne,31316,Marignac
31,Haute-Garonne,31324,Martres-Tolosane
31,Haute-Garonne,31341,Merville
31,Haute-Garonne,31345,Miremont
31,Haute-Garonne,31346,Mirepoix-sur-Tarn
31,Haute-Garonne,31356,Montaigut-sur-Save
31,Haute-Garonne,31358,Montastruc-la-Conseillre
31,Haute-Garonne,31358,Montastruc-la-Conseillre
31,Haute-Garonne,31364,Montberon
31,Haute-Garonne,31375,Montesquieu-Volvestre
31,Haute-Garonne,31375,Montesquieu-Volvestre
31,Haute-Garonne,31375,Montesquieu-Volvestre
31,Haute-Garonne,31380,Montgeard
31,Haute-Garonne,31385,Montmaurin
31,Haute-Garonne,31388,Montpitol
31,Haute-Garonne,31389,Montrab
31,Haute-Garonne,31390,Montrjeau
31,Haute-Garonne,31390,Montrjeau
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31395,Muret
31,Haute-Garonne,31396,Nailloux
31,Haute-Garonne,31399,No
31,Haute-Garonne,31399,No
31,Haute-Garonne,31403,Ondes
31,Haute-Garonne,31406,Palaminy
31,Haute-Garonne,31410,Pechbonnieu
31,Haute-Garonne,31410,Pechbonnieu
31,Haute-Garonne,31410,Pechbonnieu
31,Haute-Garonne,31410,Pechbonnieu
31,Haute-Garonne,31411,Pechbusque
31,Haute-Garonne,31417,Pibrac
31,Haute-Garonne,31417,Pibrac
31,Haute-Garonne,31424,Plaisance-du-Touch
31,Haute-Garonne,31424,Plaisance-du-Touch
31,Haute-Garonne,31424,Plaisance-du-Touch
31,Haute-Garonne,31424,Plaisance-du-Touch
31,Haute-Garonne,31429,Pompertuzat
31,Haute-Garonne,31429,Pompertuzat
31,Haute-Garonne,31433,Portet-sur-Garonne
31,Haute-Garonne,31433,Portet-sur-Garonne
31,Haute-Garonne,31435,Poucharramet
31,Haute-Garonne,31445,Quint-Fonsegrives
31,Haute-Garonne,31445,Quint-Fonsegrives
31,Haute-Garonne,31446,Ramonville-Saint-Agne
31,Haute-Garonne,31446,Ramonville-Saint-Agne
31,Haute-Garonne,31451,Revel
31,Haute-Garonne,31451,Revel
31,Haute-Garonne,31454,Rieumes
31,Haute-Garonne,31455,Rieux-Volvestre
31,Haute-Garonne,31458,Roques
31,Haute-Garonne,31458,Roques
31,Haute-Garonne,31460,Roquettes
31,Haute-Garonne,31462,Rouffiac-Tolosan
31,Haute-Garonne,31464,Sabonnres
31,Haute-Garonne,31467,Saint-Alban
31,Haute-Garonne,31467,Saint-Alban
31,Haute-Garonne,31467,Saint-Alban
31,Haute-Garonne,31467,Saint-Alban
31,Haute-Garonne,31467,Saint-Alban
31,Haute-Garonne,31470,Saint-Aventin
31,Haute-Garonne,31471,Saint-Bat
31,Haute-Garonne,31483,Saint-Gaudens
31,Haute-Garonne,31483,Saint-Gaudens
31,Haute-Garonne,31483,Saint-Gaudens
31,Haute-Garonne,31483,Saint-Gaudens
31,Haute-Garonne,31483,Saint-Gaudens
31,Haute-Garonne,31483,Saint-Gaudens
31,Haute-Garonne,31484,Saint-Genis-Bellevue
31,Haute-Garonne,31484,Saint-Genis-Bellevue
31,Haute-Garonne,31486,Saint-Hilaire
31,Haute-Garonne,31488,Saint-Jean
31,Haute-Garonne,31488,Saint-Jean
31,Haute-Garonne,31488,Saint-Jean
31,Haute-Garonne,31488,Saint-Jean
31,Haute-Garonne,31490,Saint-Jory
31,Haute-Garonne,31490,Saint-Jory
31,Haute-Garonne,31495,Saint-Lon
31,Haute-Garonne,31497,Saint-Loup-Cammas
31,Haute-Garonne,31497,Saint-Loup-Cammas
31,Haute-Garonne,31499,Saint-Lys
31,Haute-Garonne,31500,Saint-Mamet
31,Haute-Garonne,31501,Saint-Marcel-Paulel
31,Haute-Garonne,31506,Saint-Orens-de-Gameville
31,Haute-Garonne,31506,Saint-Orens-de-Gameville
31,Haute-Garonne,31512,Saint-Pierre-de-Lages
31,Haute-Garonne,31512,Saint-Pierre-de-Lages
31,Haute-Garonne,31517,Saint-Sulpice-sur-Lze
31,Haute-Garonne,31517,Saint-Sulpice-sur-Lze
31,Haute-Garonne,31523,Salies-du-Salat
31,Haute-Garonne,31523,Salies-du-Salat
31,Haute-Garonne,31526,Salvetat-Saint-Gilles
31,Haute-Garonne,31533,Saubens
31,Haute-Garonne,31533,Saubens
31,Haute-Garonne,31535,Sauveterre-de-Comminges
31,Haute-Garonne,31541,Seilh
31,Haute-Garonne,31541,Seilh
31,Haute-Garonne,31547,Seysses
31,Haute-Garonne,31553,Thil
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31555,Toulouse
31,Haute-Garonne,31557,Tournefeuille
31,Haute-Garonne,31557,Tournefeuille
31,Haute-Garonne,31557,Tournefeuille
31,Haute-Garonne,31557,Tournefeuille
31,Haute-Garonne,31557,Tournefeuille
31,Haute-Garonne,31557,Tournefeuille
31,Haute-Garonne,31557,Tournefeuille
31,Haute-Garonne,31561,Union
31,Haute-Garonne,31561,Union
31,Haute-Garonne,31561,Union
31,Haute-Garonne,31561,Union
31,Haute-Garonne,31561,Union
31,Haute-Garonne,31563,Vacquiers
31,Haute-Garonne,31569,Vaudreuille
31,Haute-Garonne,31573,Verfeil
31,Haute-Garonne,31573,Verfeil
31,Haute-Garonne,31573,Verfeil
31,Haute-Garonne,31573,Verfeil
31,Haute-Garonne,31574,Vernet
31,Haute-Garonne,31574,Vernet
31,Haute-Garonne,31575,Vieille-Toulouse
31,Haute-Garonne,31578,Vigoulet-Auzil
31,Haute-Garonne,31578,Vigoulet-Auzil
31,Haute-Garonne,31582,Villefranche-de-Lauragais
31,Haute-Garonne,31582,Villefranche-de-Lauragais
31,Haute-Garonne,31582,Villefranche-de-Lauragais
31,Haute-Garonne,31584,Villemur-sur-Tarn
31,Haute-Garonne,31584,Villemur-sur-Tarn
31,Haute-Garonne,31584,Villemur-sur-Tarn
31,Haute-Garonne,31584,Villemur-sur-Tarn
31,Haute-Garonne,31585,Villeneuve-de-Rivire
31,Haute-Garonne,31587,Villeneuve-ls-Bouloc
31,Haute-Garonne,31588,Villeneuve-Tolosane
31,Haute-Garonne,31588,Villeneuve-Tolosane
31,Haute-Garonne,31589,Villenouvelle
31,Haute-Garonne,31592,Larra
31,Haute-Garonne,31592,Larra
