codeInstallation,codeInseeCommune,libelle,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
I311130002,31113,Complexe sportif,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I311130003,31113,Complexe sportif,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I311130004,31113,Complexe sportif,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I311130005,31113,Complexe sportif,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I311130008,31113,Etablissement scolaire,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I311130009,31113,Etablissement scolaire,0,1,0,0,0,0,0,,
I311130012,31113,Etablissement scolaire,0,1,0,0,0,0,0,,
I311160004,31116,Complexe sportif,0,1,0,0,0,0,0,21/07/2015,21/07/2015
I311160005,31116,Complexe sportif,0,1,0,0,0,0,0,21/07/2015,21/07/2015
I311170001,31117,Complexe sportif,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I311170006,31117,Base de plein air et/ou de loisirs,,,,,,,0,,
I311180001,31118,Complexe sportif,0,1,0,0,0,0,0,29/07/2015,29/07/2015
I311330002,31133,Complexe sportif,0,0,0,0,0,0,1,19/10/2018,24/01/2014
I311350001,31135,Complexe sportif,0,1,0,0,0,0,0,21/09/2015,21/09/2015
I311350002,31135,Complexe sportif,,,,,,,0,21/09/2015,21/09/2015
I311350003,31135,Piscine,,,,,,,0,21/09/2015,21/09/2015
I311350004,31135,Etablissement scolaire,0,1,0,0,0,0,0,21/09/2015,21/09/2015
I311470002,31147,Arodrome/aroport,0,0,0,0,0,0,1,18/10/2018,18/10/2018
I311490002,31149,Complexe sportif,0,1,0,0,0,0,0,12/09/2016,12/09/2016
I311490003,31149,Complexe sportif,0,1,0,0,0,0,0,09/10/2016,09/10/2016
I311490008,31149,Complexe sportif,0,1,0,0,0,0,0,08/09/2016,08/09/2016
I311490011,31149,Etablissement scolaire,0,1,0,0,0,0,0,08/09/2016,08/09/2016
